N°,Tema,Artista,Compositor,Lugar,Año,Ritmo,Fuente,Letra,Realizado por,letra en Spotify,Añadido a Spotify,Observaciones,
1,Infierno Verde,Gladys Moreno,Alberto Ruíz Lavadenz,,1987,Cueca,Spotify,1.txt,Javi,TRUE,,,
2,Tu Orgullo,Los Pachechos,Humberto Iporre Salinas,Potosí,,Cueca,Spotify,2.txt,Javi,TRUE,Si,,
3,Triste es ausentarse,Enrique Larrea,-,,,Cueca,Spotify,3.txt,Javi,TRUE,Si,,
4,Ay Concepción,Luis Gutierrez,Julio Martinez Arteaga,La Paz,,Cueca,Spotify,4.txt,Javi,TRUE,Si,,
5,Sauce Sabes Querer,Enrique Larrea,-,,,Huayño,Spotify,5.txt,Javi,TRUE,Si,,
6,Mentirosita,Larrea - Villavicencio,Julio Martinez Arteaga,,,Cueca,Spotify,6.txt,Javi,TRUE,Si,,
7,La Cuesta de Sama,Los Copleros del Sausal,Nilo Soruco,Tarija,,Cueca,Spotify,7.txt,Javi,TRUE,Si,falta sincronizacion y corrección,
8,Olvidate,Los Genios,Edgar Yayo Joffré,Santa Cruz,,Taquirari,Spotify,8.txt,Javi,TRUE,Si,,
9,Recuerdo,Los Jairas,Edgar Yayo Joffré,,,Huayño,Spotify,9.txt,Javi,TRUE,Si,falta corrección,
10,Memorias,Los Jairas,Edgar Yayo Joffré,Santa Cruz,1981,Taquirari,Spotify,10.txt,Javi,TRUE,Si,,
11,Sombrero de Sao,Trio Oriental,Pedro Shimose Kawamura,Santa Cruz,1968,Taquirari,Spotify,11.txt,Javi,TRUE,,,
12,Virginia,Enriqueta Ulloa,Heriberto Luján,Tarija,,Cueca,Spotify,12.txt,Javi,TRUE,Si,,
13,Tranquilízate,Arturo Sobenes,Gilberto Rojas,Santa Cruz,,Taquirari,Spotify,13.txt,Javi,TRUE,Si,,
14,Amancay amancayita,Los Cantores del Valle,-,Tarija,,Cueca,Spotify,14.txt,Javi,TRUE,Si,,
15,Moto Mendez,Los Cantores del Valle,"Oscar Alfaro, Nilo Soruco, Misael Laguna",Tarija,,Cueca,Spotify,15.txt,Javi,TRUE,,,
16,Amor Prohibido,Grupo Norte Potosi,Abraham Pacifico Choque,Potosí,2001,Huayño,Spotify,16.txt,Javi,TRUE,,,
17,Chayanteñita,Semilla,Alejandro Camara Medrano,Potosí,1992,Huayño,Spotify,17.txt,Javi,TRUE,,,
18,Cholita Marina,Duo Takiytinku,Betty Veizaga Siles,Potosí,,Huayño,Spotify,18.txt,Javi,TRUE,Si,,
19,Pascua Uno,Grupo Norte Potosi,A.A.D.D. SOBODAYCOM,Potosí,1999,Huayño,Spotify,19.txt,Javi,TRUE,Si,,
20,Te Amaré,Amaru,Claudio Peñaranda y José Lavadenz,Chuquisaca,,Cueca,Spotify,20.txt,Javi,TRUE,Si,,
21,Bolivia Querida,Amaru,Dexter Perez Mejia,,,Cueca,Spotify,21.txt,Javi,TRUE,Si,,
22,Aguas Claras,Kala Marka,"Hugo Gutiérrez, Rodolfo Choque",Potosí,,Tinku,Spotify,22.txt,Javi,TRUE,,,
23,Cuando Florezca el Chuño,Kala Marka,Hugo Gutiérrez,,,Tobas,Spotify,23.txt,Javi,TRUE,Si,,
24,Chapaco Soy,Enriqueta Ulloa,Orlando Rojas,Tarija,,Cueca,Spotify,24.txt,Javi,TRUE,,,
25,Rosa Carmín,Música de Maestros,"Juan Manuel Thorrez, Nestor Olmos Molina",,,Cueca,Spotify,25.txt,Javi,TRUE,Si,,
26,De Regreso,Luis Rico,Matilde Casazola,,,Cueca,Spotify,26.txt,Javi,TRUE,,,
27,La Caraqueña,Enriqueta Ulloa,Nilo Soruco,Tarija,,Cueca,Spotify,27.txt,Javi,TRUE,,,
28,Adiós Oruro del Alma,Dúo Sentimiento,"Jaime Medinaceli, Daniel Sosa",Oruro,,Cueca,Spotify,28.txt,Javi,TRUE,Si,falta corregir y sincronizar,
29,Mi Gran Potosí,Maria Luisa Tirado,Hernan Martinez Rojas,Potosí,,Cueca,Spotify,29.txt,Javi,TRUE,Si,,
30,Cholita Paceña,Tupay,Manuel Elías Coronel Ponce,La Paz,,Cueca,Spotify,30.txt,Javi,TRUE,,,
31,Infierno,Proyección,-,,1989,Kaluyo,Spotify,31.txt,Javi,TRUE,,,
32,Luz de Mi Camino,Proyección,Fernando Torrico,,1987,Chuntunqui,Spotify,32.txt,Javi,TRUE,,,
33,Cruel Destino,Proyección,-,,1987,Kaluyo,Spotify,33.txt,Abi,TRUE,Si,,
34,Amigo,Los Payas,René Careaga,,1971,Taki taki,Spotify,34.txt,Abi,TRUE,,http://musicaandina2011.blogspot.com/2020/03/los-payas.html,
35,Bailando Saya,Sayanta,Juan Carlos Llave Flores,Yungas,2001,Saya afroboliviana,Spotify,35.txt,Abi,TRUE,,,
36,Abierto Mi Corazón,Los Kory Huayras,Bonny Alberto Teran,,,Huayño,Spotify,36.txt,Abi,TRUE,,https://www.discogs.com/es/release/13411599-Los-Kory-Huayras-Los-Kory-Huayras,https://www.youtube.com/watch?v=TQOEdkPCljg
37,Paceñita,Yara,Ramiro Alcocer Lopez,La Paz,2003,Cullaguada,Spotify,37.txt,Abi,TRUE,,,
38,Lágrimas,Carlos Palenque,Carlos Palenque,La Paz,1997,Cullaguada,Spotify,38.txt,Abi,TRUE,,https://music.apple.com/bo/album/lo-mejor-de-carlos-palenque-bolivia-y-su-folklore/955148931,
39,Sangre Andina,Savia Andina,Gerardo Arias Paz,,1996,Caporal,Spotify,39.txt,Abi,TRUE,,,
40,Por Qué Me Enamoré de Tí,Los Kory Huayras,Carlos Ballón,La Paz,1990,Huayño,Spotify,40.txt,Abi,TRUE,,,
41,Bailando Caporales,Yara,Ramiro Alcocer Lopez,,2003,Caporal,Spotify,41.txt,Abi,TRUE,,,
42,La Vida Es Linda,Los Canarios del Chaco,Nilo Soruco,,,Cueca,Spotify,42.txt,Abi,TRUE,Si,,
43,No Te Olvides de Mi,Esther Marisol,Teodoro Barrientos,,1996,Chuntunqui,Spotify,43.txt,Abi,TRUE,,,
44,Bien Le Cascaremos,Manuel Monroy,Manuel Monroy,,2003,Huayño,Spotify,44.txt,Abi,TRUE,,,
45,Viva Santa Cruz,Gilberto Rojas Enríquez,Gilberto Rojas Enríquez,Santa Cruz,1954,Taquirari,Spotify,45.txt,Abi,TRUE,,"https://www.youtube.com/watch?app=desktop&v=OmgexswtPJc#:~:text=VIVA%20SANTA%20CRUZ%20%E2%80%93%20Cantan%20en,Los%20Cambas%20en%201958%20%2D%20YouTube",
46,Mi Escuelita,"Zulma Yugar, Gerardo Arias",Willy Alfaro,,1999,Tonada,Spotify,46.txt,Abi,TRUE,,http://musicaandina2011.blogspot.com/2011/12/zulma-yugar.html,
47,Lloré por Ti,Pepe Murillo,Walter Gonzales,,1999,Cueca,Spotify,47.txt,Abi,TRUE,Si,,
48,Amarguras y congojas,Enrique Larrea,Enrique Larrea,,1993,Huayño,Spotify,48.txt,Abi,TRUE,Si,,
49,Boquerón,Música de Maestros,"Humberto Palza, Antonio Montes",,1999,Danza Aymara,Spotify,49.txt,Abi,TRUE,,"https://www.facebook.com/BoliviaEterna/videos/musica-de-maestros-boqueron/497223147765721/#:~:text=TEMA%20%3A%20Boqueron,-%E2%96%A0&text=AUTOR%20%3A%20Humberto%20Palza%20%2F%20Antonio%20Montes,-%E2%96%A0&text=RITMO%20%3A%20Danza%20Aymara,-%E2%96%A0",
50,Tu Recuerdo,Arturo Sobenes,Irma Arteaga,,2005,Polca,Spotify,50.txt,Abi,TRUE,,Javi,
