N,Tema,Artista,Compositor,Lugar,Año,Ritmo,Fuente,Letra,Realizado por,letra en Spotify,Añadido a Spotify,Observaciones,...14,archivo,contenido,Ira,Anticipacion,Asco,Miedo,Alegria,Tristeza,Sorpresa,Confianza,Negativo,Positivo,id,popularity,name,album,artists,type,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
1,Infierno Verde,Gladys Moreno,Alberto Ruíz Lavadenz,NA,1987,Cueca,Spotify,1.txt,Javi,TRUE,NA,NA,NA,1.txt,"Si aún queda llanto en tus ojos
Para llorar mi partida
No llores mientras la vida
Deja un minuto al amor
No llores mientras la vida
Deja un minuto al amor

Ese minuto de vida
A la orilla de la muerte
Tiene el encanto de verte
Resignada ante el dolor
Tiene el encanto de verte
Resignada ante el dolor

Llorarás cuando mañana
Ya nadie de ti se acuerde
Porque del infierno verde
Solo Dios se acordará
Porque del infierno verde
Solo Dios se acordará

Porque del infierno verde
Solo Dios se acordará

Si aún queda llanto en tus ojos
Para llorar mi partida
No llores mientras la vida
Deja un minuto al amor
No llores mientras la vida
Deja un minuto al amor

Ese minuto de vida
A la orilla de la muerte
Tiene el encanto de verte
Resignada ante el dolor
Tiene el encanto de verte
Resignada ante el dolor

Llorarás cuando mañana
Ya nadie de mi se acuerde
Porque del infierno verde
Solo Dios se acordará
Porque del infierno verde
Solo Dios se acordará

Porque del infierno verde
Solo Dios se acordará

",3,2,3,6,3,13,1,2,13,6,29auok6OFONhoV62uvfHNX,9,Infierno Verde,El Disco de Oro de Gladys Moreno,Gladys Moreno,track,spotify:track:29auok6OFONhoV62uvfHNX,0.621,0.416,2,-11.368,1,0.063,0.604,1.01e-5,0.369,0.839,119.637,193056,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Tu Orgullo,Los Pachechos,Humberto Iporre Salinas,Potosí,NA,Cueca,Spotify,2.txt,Javi,TRUE,Si,NA,NA,2.txt,"En el vaivén del alma
Mi vida hecha tu orgullo
Porque la vida tiene negrita
Caras opuestas
Porque la vida tiene negrita
Caras opuestas

Un día flor hermosa
Que me negaste tu corazón
Ahora flor deshojada llorando
Pides que te ame
Ahora flor deshojada llorando
Pides que te ame

No se hace tanto
Como se paga
Nunca digas paloma
De esta agua no he de beber
Nunca digas paloma
De esta agua no he de beber

Nunca digas paloma 
De esta agua no he de beber

No se hace tanto
Como se paga
Nunca digas paloma
De esta agua no he de beber
Nunca digas paloma
De esta agua no he de beber

Nunca digas paloma 
De esta agua no he de beber
",0,1,0,0,4,0,0,1,0,5,3yJStJCOu0nVgrjVe64anP,13,Tu Orgullo,Lo Mejor de los Pachechos (Música Bailable Boliviana),Los Pachechos,track,spotify:track:3yJStJCOu0nVgrjVe64anP,0.648,0.573,0,-6.728,1,0.0459,0.474,2.5e-5,0.0712,0.889,125.088,202989,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Triste es ausentarse,Enrique Larrea,-,NA,NA,Cueca,Spotify,3.txt,Javi,TRUE,Si,NA,NA,3.txt,"Triste es ausentarse lejos del suelo querido
¡Ay! no me pongas en el olvido cuando me ausente de ti
¡Ay! no me pongas en el olvido cuando me ausente de ti

Triste es ausentarse lejos del suelo querido
¡Ay! no me pongas en el olvido cuando me ausente de ti
¡Ay! no me pongas en el olvido cuando me ausente de ti

Tu imagen bella grabada en mi pecho está
En el camino serás la estrella que ilumine mi penar
En el camino serás la estrella que ilumine mi penar

En el camino serás mi estrella que ilumine mi pena

Tu imagen bella grabada en mi pecho está
En el camino serás la estrella que ilumine mi penar

En el camino serás la estrella que ilumine mi penar",3,2,3,5,3,9,0,4,11,4,1SbIbr4HlCqW2GQL7reI7o,2,Triste es ausentarse,Grandes Éxitos de Enrique Larrea,Enrique Larrea,track,spotify:track:1SbIbr4HlCqW2GQL7reI7o,0.767,0.397,4,-11.93,0,0.0416,0.827,8.02e-6,0.177,0.888,121.565,179933,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Ay Concepción,Luis Gutierrez,Julio Martinez Arteaga,La Paz,NA,Cueca,Spotify,4.txt,Javi,TRUE,Si,NA,NA,4.txt,"Ay concepción
Por tu ausencia
Sufro y lloro palomita
Al cielo pido que no me olvides
En tu ausencia palomita
Al cielo pido que no me olvides

Mi corazón
Con tu ausencia
Sufre martirio palomita
Al verte triste y solitaria
Por tu ausencia palomita
Mi corazón se muere vidita

Mi palomita
Divina cholita
Solo te pido palomita
Alivio grato para mis Penas
Solo te pido Palomita
Seas constante con tu cariño

Solo te pido palomita
Seas constante con tu cariño

Mi palomita
Divina cholita
Solo te pido palomita
Alivio grato para mis penas
Solo te pido palomita
Seas constante con tu cariño

Solo te pido palomita
Seas constante con tu cariño
",1,0,2,5,0,8,0,1,8,4,0jga6vZKQby6J15xDlKXR2,19,Ay Concepción,De Colección,Luis Gutierrez,track,spotify:track:0jga6vZKQby6J15xDlKXR2,0.685,0.323,2,-13.961,0,0.0433,0.609,0,0.0465,0.836,120.632,251427,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Sauce Sabes Querer,Enrique Larrea,-,NA,NA,Huayño,Spotify,5.txt,Javi,TRUE,Si,NA,NA,5.txt,"Sauce sabes querer, sauce sabes amar 
Tan solo sabes querer para verme padecer
Sauce sabes querer, sauce sabes amar 
Tan solo sabes querer para verme padecer
Dentro de mi pecho tengo una jaulita 
Donde te he criado malagradecida
Dentro de mi pecho tengo una jaulita 
Donde te he criado malagradecida

Sauce sauce llorón, toma mi corazón 
Contigo me he de casar, contigo seré feliz
Sauce sauce llorón, toma mi corazón 
Contigo me he de casar, contigo seré feliz
Dentro de mi pecho tengo una jaulita 
Donde te he criado malagradecida
",0,1,0,0,1,1,0,2,2,1,0dIvwF42zst8iTaNCLjz7p,10,Sauce Sabes Querer,Lo Mejor de la Música Criolla (Música Boliviana),Enrique Larrea,track,spotify:track:0dIvwF42zst8iTaNCLjz7p,0.656,0.69,7,-7.482,1,0.0421,0.371,2.94e-5,0.0544,0.96,87.614,143627,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Mentirosita,Larrea - Villavicencio,Julio Martinez Arteaga,NA,NA,Cueca,Spotify,6.txt,Javi,TRUE,Si,NA,NA,6.txt,"Sin querer me quieres
yo te quiero lo mismo 
con gusto me mientes 
con tanto rencor, mentirosita
Siempre de mentiras 
te engañó el amor, mentirosita
Qué gusto tengo yo 
de ser tu aborrecido
Solo se aborrece cuando hay un amor, mentirosita
Dime tus mentiras tienes el querer, mentirosita

ay cholita collerita
de tantas mentiras
dime tus mentiras 
porque eres mujer, mi palomita
tanto me aborreces sin querer querer, mentirosita
la laray…
tanto me aborreces sin querer querer, mentirosita

ay cholita collerita
de tantas mentiras
dime tus mentiras 
porque eres mujer, mi palomita
tanto me aborreces sin querer querer, mentirosita
la laray…
tanto me aborreces sin querer querer, mentirosita
",1,0,1,1,2,2,0,1,3,2,44vzF6u4e3BXgy9L7jBvPY,11,Mentirosita,Discolandia 50 Años Vol. 1,"Larrea - Villavicencio, Gladys Moreno, Los Cantores Del Valle, Los Caminantes, Arturo Sobenes, Los Jairas, Los Copleros del Sausal, Trio Oriental, Montoneros de Mendez, Los Taitas, Los de Sama, Los Genios, Luis Gutierrez, Antawara, Hermanas Saldaña, Los Brillantes",track,spotify:track:44vzF6u4e3BXgy9L7jBvPY,0.671,0.446,5,-10.478,1,0.0517,0.601,1.85e-6,0.126,0.763,114.628,191520,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,La Cuesta de Sama,Los Copleros del Sausal,Nilo Soruco,Tarija,NA,Cueca,Spotify,7.txt,Javi,TRUE,Si,falta sincronizacion y corrección,NA,7.txt,"El corazón de la flor, te traeré
De la flor enamorada de mi montaña
De mi montaña que se llama
La Cuesta de Sama
De mi montaña que se llama
La Cuesta de Sama
Desde Sama te sintió, mi corazón
Y tus ojos se metieron en mi cariño
No los vi pero se entraron
Muy dentro del alma
No los vi pero se entraron
Muy dentro del alma
Tarija, Tarija, tierra de sol
Sonrisa de luna, beso de amor
Sonrisa de luna, beso de amor
De mi montaña que se llama
La Cuesta de Sama
El corazón de la flor, te traeré
De la flor enamorada de mi montaña
De mi montaña que se llama
La Cuesta de Sama
De mi montaña que se llama
La Cuesta de Sama
Desde Sama te sintió, mi corazón
Y tus ojos se metieron en mi cariño
No los vi pero se entraron
Muy dentro del alma
No los vi pero se entraron
Muy dentro del alma
Tarija, Tarija, tierra de sol
Sonrisa de luna, beso de amor
Sonrisa de luna, beso de amor
De mi montaña que se llama
La Cuesta de Sama",0,3,0,0,7,1,4,3,1,9,4UpEGHOJOFqtaCHtc8KRhp,20,La Cuesta de Sama,Discolandia 50 Años Vol. 1,"Los Copleros del Sausal, Gladys Moreno, Los Cantores Del Valle, Los Caminantes, Arturo Sobenes, Los Jairas, Larrea - Villavicencio, Trio Oriental, Montoneros de Mendez, Los Taitas, Los de Sama, Los Genios, Luis Gutierrez, Antawara, Hermanas Saldaña, Los Brillantes",track,spotify:track:4UpEGHOJOFqtaCHtc8KRhp,0.617,0.778,4,-5.152,0,0.0442,0.651,0,0.139,0.844,132.936,196720,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Olvidate,Los Genios,Edgar Yayo Joffré,Santa Cruz,NA,Taquirari,Spotify,8.txt,Javi,TRUE,Si,NA,NA,8.txt,"Olvídate de mí
Como yo te olvidé
No pretendas volver a insistir otra vez
Olvídate de mí
Como yo te olvidé
No pretendas volver a insistir otra vez


Otro amor encontré
Soy feliz con ese amor
Lo nuestro terminó es mejor, olvídame
Otro amor encontré
Soy feliz con ese amor
Lo nuestro terminó es mejor, olvídame


Te ruego no divulgues
Que un día fui tu amor
Y si recuerdos quedan piensa en los tuyos será mejor
Te ruego que no divulgues
Que un día fui tu amor
Y si recuerdos quedan piensa en los tuyos, será mejor


Otro amor encontré
Soy feliz con ese amor
Lo nuestro terminó es mejor, olvídame
Otro amor encontré
Soy feliz con ese amor
Lo nuestro terminó es mejor, olvídame


Te ruego que no divulgues
Que un día fui tu amor
Y si recuerdos quedan piensa en los tuyos será mejor
Te ruego no divulgues
Que un día fui tu amor
Y si recuerdos quedan piensa en los tuyos será mejor
",0,1,0,0,2,0,0,1,0,2,3bBHrerSrttYCAS1Mo91mi,16,Olvidate,Discolandia 50 Años Vol. 1,"Los Genios, Gladys Moreno, Los Cantores Del Valle, Los Caminantes, Arturo Sobenes, Los Jairas, Larrea - Villavicencio, Los Copleros del Sausal, Trio Oriental, Montoneros de Mendez, Los Taitas, Los de Sama, Luis Gutierrez, Antawara, Hermanas Saldaña, Los Brillantes",track,spotify:track:3bBHrerSrttYCAS1Mo91mi,0.771,0.746,0,-8.027,1,0.0487,0.65,0,0.0457,0.948,87.444,153187,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Recuerdo,Los Jairas,Edgar Yayo Joffré,NA,NA,Huayño,Spotify,9.txt,Javi,TRUE,Si,falta corrección,NA,9.txt,"Mucho tiempo te dediqué,
mi vida entera yo te la di
hoy sólo queda de aquel ayer
los mil recuerdos que dejaste.
Mucho tiempo te dediqué,
mi vida entera yo te la di
hoy sólo queda de aquel ayer
los mil recuerdos que dejaste


Sé que tienes otro amor,
que no lo quieres también lo sé,
cuando te abraza piensas en mí
y en los mil besos que yo te di.


Quieres alejarte de mí,
cuanto más lejos recordarás
a cada instante repetirás
las cinco letras de mi nombre.


Mucho tiempo te dediqué,
mi vida entera yo te la di
hoy sólo queda de aquel ayer
los mil recuerdos que dejaste


Sé que tienes otro amor,
que no lo quieres también lo sé,
cuando te abraza piensas en mí
y en los mil besos que yo te di.


Quieres alejarte de mí,
cuanto más lejos recordarás
a cada instante repetirás
las cinco letras de mi nombre.
",0,1,0,0,1,0,0,0,0,1,0J9xMIkqyH0t8J3ujyEEBc,25,Recuerdo,Edgar Yayo Joffre y Los Jairas,Los Jairas,track,spotify:track:0J9xMIkqyH0t8J3ujyEEBc,0.638,0.623,7,-9.645,1,0.13,0.554,0,0.368,0.86,91.331,186068,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Memorias,Los Jairas,Edgar Yayo Joffré,Santa Cruz,1981,Taquirari,Spotify,10.txt,Javi,TRUE,Si,NA,NA,10.txt,"En la corteza de un tierno arbusto
grave tu nombre cuando partí,
pasaron días, pasaron meses,
pararon años y no volví.
pasaron días, pasaron meses,
pararon años y al fin volví.


Cuando el arbusto creció tan alto
leer su nombre jamás podi
con triste pena, con amargura
mis ilusiones perdidas vi. 
con triste pena, con amargura
mis ilusiones perdidas vi. 


Bellos momentos en mi memoria
que no los puedo jamás borrar,
Bellos instantes que aún los conservo
como reliquia de un tierno amor,
Bellos momentos que aún los conservo
como reliquia de un gran amor.


Bellos momentos en mi memoria
que no los puedo jamás borrar,
Bellos instantes que aún los conservo
como reliquia de un gran amor,
Bellos momentos que aún los conservo
como reliquia de un lindo amor.
",4,0,2,6,2,9,0,1,11,4,4G7Wb2x5sXxcd06kvlnysj,0,Memorias - 1981 Remastered,Dialogues,Los Jairas,track,spotify:track:4G7Wb2x5sXxcd06kvlnysj,0.606,0.31,11,-14.94,0,0.173,0.879,2.87e-4,0.139,0.751,79.399,150047,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
