palabra,n
amor,458
si,308
corazón,302
ay,262
vida,201
quiero,162
alma,110
eh,107
voy,107
ser,106
querer,97
vivir,93
nunca,92
flor,89
solo,89
así,87
bailando,83
linda,83
va,83
tan,82
cholita,79
negrita,75
saya,75
siempre,70
llorar,69
tierra,69
negra,68
vas,65
cariño,64
día,63
ey,63
pa,62
nadie,58
bien,56
llorando,56
quisiera,56
conmigo,55
viditay,55
ojos,54
ahora,53
vos,53
volver,51
hoy,50
sol,49
ah,48
dulce,48
marina,48
cómo,47
lejos,47
pobre,47
amar,46
lara,46
mal,46
olvidar,46
quiere,44
amores,43
bailar,43
mujer,43
quieres,43
aunque,42
cruz,42
querida,42
suerte,42
lai,41
palomita,41
puedo,41
viva,41
amigo,40
dolor,40
llores,40
morenita,40
olvido,40
tiempo,40
santa,39
toda,39
volveré,39
feliz,38
hermosa,38
llora,38
queda,38
vamos,38
venido,38
dos,37
aquí,36
morir,36
negro,36
triste,36
amo,35
bolivia,34
mejor,34
caporales,33
flores,33
labios,33
pueblo,33
sufrir,33
agua,32
ja,32
luz,32
pecho,32
quién,32
ritmo,32
brincao,31
cantar,31
cielo,31
dame,31
río,31
ven,31
chupao,30
penas,30
perdido,30
san,30
verme,30
voz,30
ayer,29
digas,29
hace,29
muerte,29
palomitay,29
sé,29
bella,28
dice,28
querido,28
bonita,27
camino,27
hecho,27
vivo,27
año,26
bailo,26
brazos,26
chiru,26
destino,26
doy,26
llevo,26
mañana,26
puede,26
pues,26
quema,26
aquel,25
después,25
gran,25
recordando,25
adiós,24
alegría,24
dueña,24
gusta,24
importa,24
minero,24
noche,24
pido,24
recuerdos,24
sonrisa,24
vi,24
dios,23
fuerza,23
jamás,23
lado,23
negros,23
pasión,23
patria,23
recuerdo,23
samba,23
canto,22
culpa,22
luna,22
morena,22
olvidarte,22
paloma,22
prenda,22
quieren,22
robar,22
sabes,22
ver,22
viene,22
algún,21
baila,21
carnaval,21
da,21
di,21
junto,21
mundo,21
piel,21
quieras,21
buena,20
cantando,20
esperanza,20
ingrata,20
orgullo,20
pena,20
perdí,20
saber,20
sueño,20
vez,20
volverá,20
wa,20
canción,19
ilusión,19
jardín,19
primero,19
puedes,19
sueños,19
vidita,19
calles,18
caporal,18
contigo,18
dar,18
dejado,18
dentro,18
larara,18
morenos,18
muero,18
olvides,18
sabe,18
consuelo,17
dices,17
lástima,17
mana,17
mirar,17
